Country or Area,Year,Area,Month,Record Type,Reliability,Source Year,Value,Value Footnotes
Åland Islands,2014,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2016,11,
Åland Islands,2014,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2016,19,
Åland Islands,2014,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2016,19,
Åland Islands,2014,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2016,22,
Åland Islands,2014,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2016,12,
Åland Islands,2014,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2016,17,
Åland Islands,2014,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2016,29,
Åland Islands,2014,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2016,26,
Åland Islands,2014,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2016,25,
Åland Islands,2014,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2016,17,
Åland Islands,2014,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2016,28,
Åland Islands,2013,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,269,
Åland Islands,2013,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2015,26,
Åland Islands,2013,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2015,14,
Åland Islands,2013,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2015,19,
Åland Islands,2013,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2015,19,
Åland Islands,2013,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2015,29,
Åland Islands,2013,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2015,26,
Åland Islands,2013,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2015,18,
Åland Islands,2013,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2015,24,
Åland Islands,2013,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2015,17,
Åland Islands,2013,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2015,29,
Åland Islands,2013,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2015,20,
Åland Islands,2013,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2015,28,
Åland Islands,2012,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2014,323,
Åland Islands,2012,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2014,35,
Åland Islands,2012,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2014,27,
Åland Islands,2012,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2014,32,
Åland Islands,2012,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2014,26,
Åland Islands,2012,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2014,19,
Åland Islands,2012,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2014,27,
Åland Islands,2012,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2014,30,
Åland Islands,2012,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2014,27,
Åland Islands,2012,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2014,18,
Åland Islands,2012,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2014,24,
Åland Islands,2012,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2014,25,
Åland Islands,2012,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2014,33,
Albania,2017,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,22232,
Albania,2017,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2019,3129,
Albania,2017,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2019,1845,
Albania,2017,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2019,1817,
Albania,2017,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2019,1665,
Albania,2017,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2019,1660,
Albania,2017,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2019,1605,
Albania,2017,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2019,1788,
Albania,2017,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2019,1833,
Albania,2017,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2019,1482,
Albania,2017,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2019,1679,
Albania,2017,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2019,1716,
Albania,2017,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2019,2013,
Albania,2016,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,21388,
Albania,2016,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2018,2065,
Albania,2016,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2018,1905,
Albania,2016,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2018,1910,
Albania,2016,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2018,1652,
Albania,2016,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2018,1716,
Albania,2016,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2018,1678,
Albania,2016,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2018,1643,
Albania,2016,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2018,1578,
Albania,2016,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2018,1459,
Albania,2016,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2018,1743,
Albania,2016,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2018,1855,
Albania,2016,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2018,2184,
Albania,2013,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,20442,
Albania,2013,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2015,2037,
Albania,2013,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2015,1675,
Albania,2013,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2015,1960,
Albania,2013,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2015,1766,
Albania,2013,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2015,1618,
Albania,2013,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2015,1565,
Albania,2013,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2015,1551,
Albania,2013,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2015,1646,
Albania,2013,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2015,1481,
Albania,2013,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2015,1652,
Albania,2013,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2015,1570,
Albania,2013,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2015,1921,
Albania,2004,Total,Total,Data tabulated by year of occurrence,Provisional figure,2005,17749,
Albania,2004,Total,January,Data tabulated by year of occurrence,Provisional figure,2005,2218,
Albania,2004,Total,February,Data tabulated by year of occurrence,Provisional figure,2005,1840,
Albania,2004,Total,March,Data tabulated by year of occurrence,Provisional figure,2005,1954,
Albania,2004,Total,April,Data tabulated by year of occurrence,Provisional figure,2005,1761,
Albania,2004,Total,May,Data tabulated by year of occurrence,Provisional figure,2005,1960,
Albania,2004,Total,June,Data tabulated by year of occurrence,Provisional figure,2005,1406,
Albania,2004,Total,July,Data tabulated by year of occurrence,Provisional figure,2005,1326,
Albania,2004,Total,August,Data tabulated by year of occurrence,Provisional figure,2005,1305,
Albania,2004,Total,September,Data tabulated by year of occurrence,Provisional figure,2005,1149,
Albania,2004,Total,October,Data tabulated by year of occurrence,Provisional figure,2005,1103,
Albania,2004,Total,November,Data tabulated by year of occurrence,Provisional figure,2005,761,
Albania,2004,Total,December,Data tabulated by year of occurrence,Provisional figure,2005,966,
Albania,1991,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1992,17743,
Albania,1991,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1992,1906,
Albania,1991,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1992,1691,
Albania,1991,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1992,1766,
Albania,1991,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1992,1557,
Albania,1991,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1992,1505,
Albania,1991,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1992,1497,
Albania,1991,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1992,1360,
Albania,1991,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1992,1308,
Albania,1991,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1992,1163,
Albania,1991,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1992,1242,
Albania,1991,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1992,1294,
Albania,1991,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1992,1454,
Albania,1990,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1991,18193,
Albania,1990,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1991,1690,
Albania,1990,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1991,1957,
Albania,1990,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1991,2297,
Albania,1990,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1991,1418,
Albania,1990,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1991,1393,
Albania,1990,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1991,1206,
Albania,1990,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1991,1235,
Albania,1990,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1991,1274,
Albania,1990,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1991,1163,
Albania,1990,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1991,1359,
Albania,1990,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1991,1484,
Albania,1990,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1991,1717,
Albania,1989,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1990,18168,
Albania,1989,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1990,1937,
Albania,1989,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1990,1637,
Albania,1989,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1990,1743,
Albania,1989,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1990,1529,
Albania,1989,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1990,1411,
Albania,1989,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1990,1265,
Albania,1989,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1990,1199,
Albania,1989,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1990,1246,
Albania,1989,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1990,1285,
Albania,1989,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1990,1439,
Albania,1989,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1990,1499,
Albania,1989,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1990,1978,
Albania,1988,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1989,17027,
Albania,1988,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1989,1453,
Albania,1988,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1989,1418,
Albania,1988,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1989,1747,
Albania,1988,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1989,1451,
Albania,1988,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1989,1406,
Albania,1988,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1989,1267,
Albania,1988,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1989,1282,
Albania,1988,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1989,1251,
Albania,1988,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1989,1123,
Albania,1988,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1989,1226,
Albania,1988,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1989,1486,
Albania,1988,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1989,1917,
Albania,1987,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1989,17119,
Albania,1987,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1989,1754,
Albania,1987,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1989,1362,
Albania,1987,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1989,1774,
Albania,1987,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1989,1640,
Albania,1987,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1989,1446,
Albania,1987,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1989,1287,
Albania,1987,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1989,1294,
Albania,1987,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1989,1160,
Albania,1987,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1989,1137,
Albania,1987,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1989,1196,
Albania,1987,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1989,1444,
Albania,1987,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1989,1625,
Albania,1986,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1989,17369,
Albania,1986,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1989,1680,
Albania,1986,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1989,1512,
Albania,1986,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1989,1900,
Albania,1986,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1989,1617,
Albania,1986,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1989,1331,
Albania,1986,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1989,1213,
Albania,1986,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1989,1182,
Albania,1986,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1989,1319,
Albania,1986,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1989,1267,
Albania,1986,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1989,1354,
Albania,1986,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1989,1318,
Albania,1986,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1989,1676,
Albania,1985,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1989,17179,
Albania,1985,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1989,1705,
Albania,1985,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1989,1374,
Albania,1985,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1989,1544,
Albania,1985,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1989,1622,
Albania,1985,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1989,1536,
Albania,1985,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1989,1149,
Albania,1985,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1989,1255,
Albania,1985,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1989,1194,
Albania,1985,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1989,1200,
Albania,1985,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1989,1398,
Albania,1985,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1989,1442,
Albania,1985,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1989,1760,
Albania,1984,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1989,16618,
Albania,1984,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1989,1582,
Albania,1984,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1989,1547,
Albania,1984,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1989,1587,
Albania,1984,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1989,1639,
Albania,1984,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1989,1584,
Albania,1984,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1989,1126,
Albania,1984,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1989,1227,
Albania,1984,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1989,1147,
Albania,1984,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1989,1100,
Albania,1984,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1989,1334,
Albania,1984,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1989,1269,
Albania,1984,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1989,1476,
Albania,1983,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1985,17416,
Albania,1983,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1985,1525,
Albania,1983,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1985,1577,
Albania,1983,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1985,1931,
Albania,1983,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1985,1538,
Albania,1983,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1985,1349,
Albania,1983,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1985,1174,
Albania,1983,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1985,1314,
Albania,1983,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1985,1274,
Albania,1983,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1985,1268,
Albania,1983,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1985,1351,
Albania,1983,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1985,1419,
Albania,1983,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1985,1696,
Albania,1982,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1985,16521,
Albania,1982,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1985,1563,
Albania,1982,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1985,1461,
Albania,1982,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1985,1528,
Albania,1982,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1985,1500,
Albania,1982,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1985,1384,
Albania,1982,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1985,1270,
Albania,1982,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1985,1342,
Albania,1982,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1985,1211,
Albania,1982,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1985,1126,
Albania,1982,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1985,1295,
Albania,1982,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1985,1309,
Albania,1982,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1985,1532,
Albania,1981,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1985,18001,
Albania,1981,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1985,1760,
Albania,1981,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1985,2016,
Albania,1981,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1985,2526,
Albania,1981,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1985,1549,
Albania,1981,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1985,1325,
Albania,1981,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1985,1153,
Albania,1981,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1985,1084,
Albania,1981,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1985,1177,
Albania,1981,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1985,1141,
Albania,1981,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1985,1264,
Albania,1981,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1985,1369,
Albania,1981,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1985,1637,
American Samoa,2017,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,310,
American Samoa,2017,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2018,25,
American Samoa,2017,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2018,19,
American Samoa,2017,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2018,24,
American Samoa,2017,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2018,19,
American Samoa,2017,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2018,26,
American Samoa,2017,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2018,31,
American Samoa,2017,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2018,28,
American Samoa,2017,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2018,25,
American Samoa,2017,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2018,28,
American Samoa,2017,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2018,31,
American Samoa,2017,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2018,23,
American Samoa,2017,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2018,31,
American Samoa,2016,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,280,
American Samoa,2016,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2018,28,
American Samoa,2016,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2018,23,
American Samoa,2016,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2018,27,
American Samoa,2016,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2018,24,
American Samoa,2016,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2018,44,
American Samoa,2016,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2018,23,
American Samoa,2016,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2018,14,
American Samoa,2016,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2018,21,
American Samoa,2016,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2018,21,
American Samoa,2016,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2018,13,
American Samoa,2016,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2018,27,
American Samoa,2016,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2018,15,
American Samoa,2015,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,314,
American Samoa,2015,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2018,35,
American Samoa,2015,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2018,22,
American Samoa,2015,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2018,17,
American Samoa,2015,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2018,24,
American Samoa,2015,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2018,28,
American Samoa,2015,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2018,23,
American Samoa,2015,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2018,28,
American Samoa,2015,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2018,20,
American Samoa,2015,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2018,22,
American Samoa,2015,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2018,37,
American Samoa,2015,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2018,31,
American Samoa,2015,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2018,27,
American Samoa,2014,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,259,
American Samoa,2014,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2015,24,
American Samoa,2014,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2015,27,
American Samoa,2014,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2015,14,
American Samoa,2014,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2015,24,
American Samoa,2014,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2015,26,
American Samoa,2014,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2015,14,
American Samoa,2014,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2015,26,
American Samoa,2014,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2015,21,
American Samoa,2014,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2015,14,
American Samoa,2014,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2015,31,
American Samoa,2014,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2015,15,
American Samoa,2014,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2015,23,
American Samoa,2013,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,270,
